,ITEM_NM,RATE,CONTENT,TAG,WRITE_DT
69,,5,떡 완전 맛있어서 친정엄마ㆍ언니 집으로 보내줬어요~~,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240519
70,,5,맛이 매우 좋습니다. 추천합니다,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240517
71,,5,맛있어요 맛있습니다 ^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240517
72,,5,부드럽고 쑥향이 가득해서 우선 만족합니다. 겉앙금과속 앙금도 너무 맛있어요.딱 한가지 제 입 맛에는 짠기가 느껴서서 그것 빼고는 매우 만족합니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240516
73,,5,포장 정말 꼼꼼하게 잘되어서 오고 너므 담백하니 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240515
74,,5,제가 좋아하는 동부고물이 듬뿍 들어 있어서 맛있어요 사이즈 큼직해서 한개만 먹어도 든든 해요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240514
75,,5,아빠가 떡을 좋아해서 구매했는데 주소를 잘못 적었네요^^; 제가 맛있게 먹어야겠습니다. ㅎㅎ..;;,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240514
76,,5,"친절한 사장님~~^^ 동쑥이 너무 맛있어서 오랫만에 재주문했는데, 배송이 잘못되어서 처리중에 사장님께서 늦은 시간에 친절히 전화 주시고 서비스로 떡도 더 보내주셔서 너무 좋았어요. ^^감사히 잘 먹겠습니다. 대박 나시고 또 주문하겠습니다.","유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240514
77,,5,엄마가 출출할 때 드시고 싶다 해서 재주문해드렸어요~ 입맛 까다로운 분인데 입맛에 맞으셨다니 좋네요~ 감사합니다~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240512
78,,5,맛있습니다!! 배송만 조금 빠르면 좋겠네요^^,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240511
79,,5,쫄깃하고 안달아서 맛있어요 또 구매하겠습니다,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240511
80,,5,너무너무 맛있어서 언니네ㆍ친정엄마네 계속 주문하고 있어요^^,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240510
81,,5,너무 신선하고 맛있고 식감도 좋고 기대이상이예요 !! 콩가루도 아주 넘치게 많이 들어가있고 많이 안달아요 자꾸 먹게되는 매직,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240506
82,,5,항상 구매하는 상품이에요. 어른들이 좋아하시는 이전에는 할인도 받아저렴히 구매했네요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240506
83,,5,심사숙고해서 골랐는데 딱 내가 원하던거라 아주 만족합니다 일단 촉촉한 동부고물이 많아서 좋고 쑥의 식감도 좋아요 사이즈가 큰것도 맘에 듭니다 도착까진 조금 기다렸는데 그런것 상쇄할만큼 맛있어요~ 처음이라 10개만 구매해봤는데 다 먹기전에 재구매예정입니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240506
84,,5,콩가루가 많고속이꽉찼어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240506
85,,5,정~~~~~~~말 맛있네요^^ 부드럽고 촉촉하고 쫄~~~~깃하고 쑥향이 너무 좋습니다. 제가 원하는 식감을 갖고있는 떡이예요 고물도 달지 않고 맛있어요 맛있는 떡 맛보게 되서 너무 감사드립니다 번창하세요 ~~^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240506
86,,5,기다렸던 맛난 쑥떡입니다 ㅎㅎ 꼼꼼한 2중포장에 얼음팩까지 완벽합니다~ 먹기가 아깝네요 크기도 크고 맛도 좋고 재구매각입니다~^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240506
87,,5,가족들과 맛있게 나누어 먹었습니다. 역시 동쑥이가 최고예요👍,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240505
88,,5,아주 맛있게 잘 먹었어요. 이런 떡은 처음이었어요. 택배로 주문해서 먹을 수 있어서 좋았습니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240505
89,,5,저한테는 앙금이 달지도 않고 맛있었어요 떡돌이 남편도 그 자리에서 두개 흡입하네요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240504
90,,5,지난주에 구매하고 넘 맛있어서 재구매하고 친구한테도 선물로 보내줬어요 인생떡집을 찾았어요^^~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240504
91,,5,"너무 달지 않고, 크기도 크고 너무 맛있네요.","유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240504
92,,5,맛있어서 20개 추가 주문했어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240503
93,,5,앙금도 고소하고 너무 맛있네요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240430
94,,3,떡맛이 제대로 느껴지지 않고 깔끔하고 쫀득한 맛이 달함,"맛 만족도평범해요,유통기한꽤 남았어요,포장꼼꼼해요,",20240429
95,,3,속이나 겉에 소가 지나쳐 떡맛이 달함,"맛 만족도평범해요,유통기한꽤 남았어요,포장꼼꼼해요,",20240429
96,,5,..........,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240429
97,,5,이 떡은 인생떡이라 할 만큼 정말 맛있네요. 쑥맛도 좄고 무엇보다 고물이 듬뿍 들어 있어 너무 좋아요.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240428
98,,4,먹을만합니다.. 꼭해동해서 드세요 전자렌지 살짝 돌리든지..,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240427
99,,5,제가 동부콩고물을 너무 좋아하는데 요즘 잘 없더라구요. 여기서 제대로 찾았어요 많이 달지않고 적당히 딱 좋아요 10개만 주문했는데 하루만에 5개를 먹어버렸네요 계속 냉장고에 쟁겨놓을것같아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240427
100,,5,"몇번째 주문한고 있는지 ㅋㅋ 우리가족이 좋아해요, 맛있에요","유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240424
101,,5,ㅠㅠㅠ원래도 흰앙금을 좋아하는데... 녹여서 1/4짤라서 콩고물이랑 찍어서 먹으면 존맛 입니댱👍,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240423
102,,5,부모님이 아침식사 대용으로 드세요. 재구매 세번째 입니다. 맛있어요~드셔보세요~^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240422
103,,5,두 번째 시켰습니다. 달지않고 부드러운 떡입니다. 쑥이 더 들어갔으면 좋겠습니다. 아쉽네요. 식사 대용으로도 먹기 좋습니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240421
104,,5,맛있어요. 달지.않아서 딱 제 입맛에 믖아요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240420
105,,5,부모님 드렷는데 너무 맛잇다해서 재구매 해드렸어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240420
106,,5,재주문해서 캐나다에 델고왔어요. 하나씩 맛보고 맛있답니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240420
107,,5,오랜만에 다시 주문한 동쑥이 넘 맛있어요 아이들도 좋아하는 떡 동쑥이,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240420
108,,5,개별포장으로 하나씩 꺼내먹기좋아요 크기도커서 하나먹으면 든든하네요 달지않고 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240419
109,,5,매번 시켜먹는 떡이예요 맛있어요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240419
110,,5,맛난 쑥둥굴레떡 이예요 재구매하고 싶은 떡입니다,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240419
111,,4,쓱도 좋아하고 앙금도 좋아하고 떡도 좋아하고 딱이네요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240419
