,ITEM_NM,RATE,CONTENT,TAG,WRITE_DT
71,,5,담백하면서 적당히 매콤해요. 이런 김치만두 찾기 힘든데. 전 정말 너무 맛있게 먹었어요. 혼자 한봉 다 먹었어욬ㅋ,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240729
72,,5,비비고를 끊었습니다. 핵 만두꿀맛,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240729
73,,4,맛있게 잘먹었어요 아이스팩 2개가 다 구멍이나서 물이 다 나왔어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240729
74,,5,맛있어요 잘먹을께요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240728
75,,5,늘 단골입니다 행사때는쟁여놔요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240728
76,,5,저희집은 미미제면소 만두 단골입니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240727
77,,5,수차례 재구매입니다. 존맛탱.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240727
78,,5,아이들 먹는거라 고기만두 위주로만 주문했다가 이번엔 김치만두도 추가해서 주문했어요 아빠가 정말 좋아하네요 물론 저도 맛있게 먹었어요. 추천해요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240727
79,,5,떡 만둣국도 해먹고 에어프라이어의 구워 먹기도 하고찜 만두도 해먹고 활용이 아주 좋아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240726
80,,5,세일해서 구매했어요. 방학이라 아이들간식으로 최고네요.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240726
81,,1,"두번째 구매인데요. 이번으로써 재구매는 안할듯요. 스티로폼이 얇디 얇아서 작살이 났네요. 기사님 말로는 배달 직전에 깨졌다는데 믿어야될지도 모르겠고, 양해구하길래 그냥 받았습니다. 만두는 다 녹았고, 녹아서 엉겨붙어 있었습니다. 고객센터에 문의했더니 택배사 책임으로 넘기는 듯한 뉘앙스... 됐습니다 됐고요. 택배사에 책임 뭍지 마시고 고객 마음이나 헤아리세요. 상담하다가 마지막 톡에 스티로폼 박스 개선해달라 했더니 읽씹... 포장봉투에 스티로폼 가루들 덕지덕지, 다신 구매안합니다.","맛 만족도평범해요,유통기한아주 넉넉해요,포장별로예요,",20240726
82,,5,맛있어요 맛있어요 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240725
83,,5,맛은 잇는데 ..예전보다 많이 비싸져 아쉬워여 ㅠㅠ,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240725
84,,5,너무 맛나서 또 주문합니다 저희집은 고기파인데 미미제면소 김치만두는 넘넘 맛나요 최고입니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240725
85,,5,맛있어요...ㅎㅎㅎ,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240723
86,,5,브랜드들 만두보다 자극적이지 않고 담백하니 맛있어요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240722
87,,5,제가 너무 좋아해서 쟁겨 먹는 만두예요 3집이 한전에 주문 넣었어요 늘 맛있는 만두 제공해 주셔서 감사합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240720
88,,5,만두 잘먹고 있습니다,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240718
89,,5,아직 시식전입니다.빠른 배송 감사합니다,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240717
90,,5,전에 먹어보고 재구매합니다 ㅎㅎ,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240716
91,,4,만두를 정말 좋아해서 직접 가게에서 만드는 만두집은 지나치지 않고 사는 편인데 여기도 직접 하는 집이라 해서 구매했어요. 일반적으로 간이 센집이 있는데 여긴 간이 많이 세지는않아요. 크기는 살짝 작은편이예요.맛있어요,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240715
92,,5,너무맛있는만두 저렴하게구매해서.잘샀어요.만두국으로 튀김만두로 너무좋아요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240715
